path,start_time,end_time,number
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243394048-4096.hdf5,1243394048,1243398144,1
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243398144-4096.hdf5,1243398144,1243402240,2
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243402240-4096.hdf5,1243402240,1243406336,3
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243406336-4096.hdf5,1243406336,1243410432,4
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243410432-4096.hdf5,1243410432,1243414528,5
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243414528-4096.hdf5,1243414528,1243418624,6
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243418624-4096.hdf5,1243418624,1243422720,7
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243422720-4096.hdf5,1243422720,1243426816,8
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243426816-4096.hdf5,1243426816,1243430912,9
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243430912-4096.hdf5,1243430912,1243435008,10
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243435008-4096.hdf5,1243435008,1243439104,11
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243439104-4096.hdf5,1243439104,1243443200,12
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243443200-4096.hdf5,1243443200,1243447296,13
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243447296-4096.hdf5,1243447296,1243451392,14
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243451392-4096.hdf5,1243451392,1243455488,15
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243455488-4096.hdf5,1243455488,1243459584,16
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243459584-4096.hdf5,1243459584,1243463680,17
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243463680-4096.hdf5,1243463680,1243467776,18
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243467776-4096.hdf5,1243467776,1243471872,19
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243471872-4096.hdf5,1243471872,1243475968,20
/home/arutkeerthi/Downloads/Glitchveto/urls/H-H1_GWOSC_O3a_4KHZ_R1-1243475968-4096.hdf5,1243475968,1243480064,21
